Mesh ID,Common name,Synonyms
D004232,Methazolamide,N-Methylacetazolamide|N Methylacetazolamide|Methazolamide
D000892,Methenamine,"Aminoform|Silver Methenamine|Urotropin|Silver, Hexamine|Hexamethylenetetramine|Methenamine|Silver, Methenamine|Hexamine|Methenamine Silver|Hexamine Silver|Methenamine, Silver"
D018491,Metergoline,Methergoline|Liserdol|Metergoline
D013956,Methimazole,"Methizol|Metisol|Tirodril|Merkazolil|Hexal, Thiamazol|Metizol|Tiamazol|Thiamazol Henning|Henning, Thiamazol|Mercazole|Methylmercaptoimidazole|Thiamazole|Thimazol|Thiamazol Hexal|Tapazole|Mercazol|Thyrozol|Mercazolyl|Mercasolyl|Strumazol|Favistan|1-Methyl-2-mercaptoimidazole|Methimazole|Methymazol|1 Methyl 2 mercaptoimidazole"
D009125,Methocarbamol,"Guaiphenesin Carbamate|Robaxin|Methocarbamol|Ortoton|Carbamate, Guaiphenesin|Parabaxin|Lumirelax"
D018686,Methohexital,"Brevimytal Natrium|Natrium, Brevimytal|Brietal-Sodium|Monosodium Salt Methohexital|Methohexital, Monosodium Salt|Brietal|Methohexital|Sodium, Methohexital|Brevital|Brietal Sodium|Methohexital Sodium|Methohexitone"
D019384,Methotrexate,"Sodium, Methotrexate|Methotrexate, Dicesium Salt|Mexate|Methotrexate Sodium|Hydrate, Methotrexate|Methotrexate, (D)-Isomer|Dicesium Salt Methotrexate|Methotrexate|Amethopterin|Methotrexate, Sodium Salt|Methotrexate, (DL)-Isomer|Methotrexate Hydrate|Methotrexate, Disodium Salt"
D018712,Methotrimeprazine,Levomeprazin|Methotrimeprazine|Tizercine|Tisercin|Levomepromazine|Tizertsin|Levopromazine
D058646,Methoxamine,"Vasoxin|Methoxamedrin|Wellcome, Metoxamine|Vasylox|Vasoxine|Hydrochloride, Methoxamine|Methoxamine Hydrochloride|Metoxamine Wellcome|Vasoxyl|Methoxamine"
D017319,Methoxsalen,Méladinine|Meloxine|8 MOP|Methoxa-Dome|Oxsoralen|8MOP|8-MOP|Oxsoralen-Ultra|Geroxalen|Deltasoralen|Xanthotoxin|Oxsoralen Ultra|8-Methoxypsoralen|8 Methoxypsoralen|Ultramop|Ammoidin|Methoxa Dome|Puvalen|Meladinine|Meladinina|Methoxsalen|Dermox
D018685,Methoxyflurane,Penthrane|Methoxyflurane|Methofluranum|Anecotan|Pentrane
D049993,Methyclothiazide,Methyclothiazide
D008747,Methylcellulose,"Methyl Cellulose|Cellothyl|Methylcellulose|Citrucel|Celevac|Muciplasma|Methocel|Cellulose, Methyl|Cellulone|Dacryolarmes|BFL|Cologel"
D058647,Methyldopa,Dopegyt|Methyldopate|alpha-Methyldopa|Apo-Methyldopa|alpha Methyl L Dopa|Dopergit|alpha-Methyl-L-Dopa|Methyldopa|alpha Methyldopa|Dopamet|Hydopa|Apo Methyldopa|Aldomet|Nu Medopa|Dopegit|Meldopa|Alphamethyldopa|Nu-Medopa|Sembrina
D010120,Methylergonovine,Methylergonovine Maleate|Methylergometrin|Methylergonovine|Méthergin|Methergine|Methylergometrine|Methergin|Methylergometrine Maleate|Methylergobasin
D018765,Methylphenidate,"Phenidylate|Daytrana|Methylphenidate|Tsentedrin|Hydrochloride, Methylphenidate|Ritalin-SR|Centedrin|Methylphenidate Hydrochloride|Ritalin SR|Ritalin|Ritaline|Methylin|Metadate|Equasym|Concerta"
D018696,Methylprednisolone,Methylprednisolone|6-Methylprednisolone|Medrol|Urbason|6 Methylprednisolone|Metipred
D045930,Methyltestosterone,Oreton|17 beta Methyltestosterone|17beta Methyltestosterone|Metandren|Android-5|17 beta-Methyltestosterone|17-Epimethyltestosterone|Android 10|17alpha-Methyltestosterone|17 alpha Methyltestosterone|17alpha Methyltestosterone|17alpha Methyl Testosterone|Android 25|17beta-Methyltestosterone|Virilon|Testred|Android-10|Testoviron|17-alpha-Methyltestosterone|Android-25|Mesteron|Mesterone|Methitest|17 Epimethyltestosterone|Methyltestosterone|17 beta-Hydroxy-17-methyl-4-androsten-3-one|17beta Hydroxy 17 methyl 4 androsten 3 one|17alpha-Methyl-Testosterone|Android (Methyltestoterone)|Android 5|17beta-Hydroxy-17-methyl-4-androsten-3-one|17 beta Hydroxy 17 methyl 4 androsten 3 one
D008778,Methylthioinosine,"6-Methylthiopurine Riboside|6 Methylthiopurine Riboside|6 Methylmercaptopurine Riboside|Methylthioinosine|Riboside, 6-Methylthiopurine|6-Methylmercaptopurine Riboside|Riboside, 6-Methylmercaptopurine"
D013956,Methylthiouracil,Methylthiouracil|Alkiron|4-Methyl-2-thiouracil|Metacil|Thimecil
D014662,Methysergide,"Sansert|Désernil-Sandoz|Deseril|UML 491|Methylmethylergonovine|UML-491|Désernil Sandoz|Dimaleate, Methysergide|Maleate, Methysergide|Methysergide|Methysergide Dimaleate|Dimethylergometrin|UML491|Methysergide Maleate|Desril"
D006635,Metiamide,"Metiamide Monohydrochloride|Metiamide|F-92058|F 92058|SKF92058|SKF 92058|SK|Monohydrochloride, Metiamide|F92058|SKF-92058|&"
D065127,Metoclopramide,"Rimetin|Reglan|Hydrochloride, Metoclopramide|Metoclopramide Monohydrochloride, Monohydrate|Monohydrochloride, Metoclopramide|Dihydrochloride, Metoclopramide|Metoclopramide Dihydrochloride|Metoclopramide Hydrochloride|Metoclopramide Monohydrochloride|4-Amino-5-chloro-N-(2-(diethylamino)ethyl)-2-methoxybenzamide|Metoclopramide|Maxolon|Primperan|Cerucal|Metaclopramide"
D049993,Metolazone,Diulo|Microx|Mykrox|SR72022|SR-720-22|SR 720 22|Zaroxolyn|Metolazone
D058671,Metoprolol,Metoprolol Succinate|CGP-2175|Betaloc|Toprol XL|Betalok|Toprol-XL|Betaloc Astra|Beloc Duriles|Toprol|Spesikor|Spesicor|CGP 2175|H 93-26|H 9326|Metoprolol CR XL|CGP2175|H 93 26|Seloken|Metoprolol|Betaloc-Astra|Beloc-Duriles|Metoprolol CR-XL|Lopressor|Metoprolol Tartrate
D003287,Metrizamide,Amipaque|Amipak|Metrizamide
D000981,Metronidazole,2 Methyl 5 nitroimidazole 1 ethanol|Gineflavir|Metronidazole|Satric|Metric|Metronidazole Monohydrochloride|2-Methyl-5-nitroimidazole-1-ethanol|Vagilen|Metronidazole Phosphate|Danizol|Metrogyl|Bayer 5360|Trivazol|Metrodzhil|Flagyl|Trichazol|Trichopol|MetroGel|Metronidazole Phosphoester|Clont|Metronidazole Hydrochloride
D004791,Metyrapone,Metopirone|SU 4885|Metopiron|Methbipyranone|Metyrapone|Methopyrapone|Métopirone
D061567,Mexiletine,Novo Mexiletine|KOE 1173|KO-1173|Mexiletene|KO1173|KOE1173|Mexitil|KOE-1173|KO 1173|Mexityl|Novo-Mexiletine|Mexiletine|Mexitil PL|Mexiletine Hydrochloride
D000900,Mezlocillin,"Meslocillin|Baypen|Bay-f 1353|Bay f 1353|Melocin|Mezlin|Mezlocilline|Bayf 1353|Mezlocillin|Sodium, Mezlocillin|Mezlocillin Sodium"
D018687,Mianserin,"Tolvon|Mianserin Monohydrochloride|Lerivon|Org GB 94|Monohydrochloride, Mianserin|Mianserin Hydrochloride|Mianserin|Hydrochloride, Mianserin"
D065692,Miconazole,"Dactarin|Monistat|Miconazole|Brentan|Miconazole Nitrate|Miconasil Nitrate|Nitrate, Miconasil|Nitrate, Miconazole|R-14,889|R14,889|R 14,889"
D018757,Midazolam,"Versed|Midazolam Hydrochloride|Dormicum|Midazolam Maleate|Ro 213981|Hydrochloride, Midazolam|Ro 21-3981|Maleate, Midazolam|Ro 21 3981|Midazolam"
D058646,Midodrine,"ST1085|Midodrin|ProAmatine|Midodrine Hydrochloride|ST-1085|Midodrine Monohydrochloride|Amatine|Midodrine|Gutron|Midon|ST 1085|Monohydrochloride, Midodrine"
D008898,Mimosine,Leucenol|Leucaenol|Leucaenine|Leucenine|Mimosine
D000900,Minocycline,"Minoclir|Dynacin|Aknosan|Hydrochloride, Minocycline|Minocycline, (4R-(4 alpha,4a beta,5a beta,12a beta))-Isomer|Klinomycin|Aknin-Mino|Mino-Wolff|Aknin Mino|Monohydrochloride, Minocycline|Minoplus|Minakne|Apo-Minocycline|Icht Oral|Minolis|Mestacine|Cyclops|Minocycline Monohydrochloride|Aknemin|Cyclomin|Minocin|Akamin|Minotab|Minocycline|Dentomycin|Minox 50|Minocin MR|Minocycline Hydrochloride|Apo Minocycline|Lederderm|Icht-Oral|Arestin|Akne-Puren|Minomycin|Blemix|Akne Puren|Mino Wolff|Mynocine"
D014665,Minoxidil,Minoxidil|Loniten|U 10858|Regaine|Rogaine
D011838,Misonidazole,Ro 07-0582|Ro 70582|Misonidazole|Ro 07 0582|alpha-(Methoxymethyl)-2-nitro-1H-imidazole-1-ethanol|Ro 7 0582|Ro 070582|Ro 7-0582
D019384,Plicamycin,Mitramycin|Aureolic Acid|Plicamycin|Mithramycin
D018906,Mitobronitol,"NSC94,100|NSC 94100|NSC 94,100|Dibromomannitol|Myelobromol|NSC-94,100|NSC94100|Mitobronitol|NSC-94100"
D004791,Mitoguazone,Mitoguazone|Methylglyoxal Bis(guanylhydrazone)|NSC32946|NSC-32946|Methyl-gag|Methyl gag|Methylgag|NSC 32946|MGBG
D018906,Mitolactol,NSC-104800|Mitolactol|NSC 104800|Dibromodulcitol|NSC104800
D018931,Mitotane,"Chlodithane|Mytotan|ortho,para-DDD|Khloditan|o,p-DDD|Chloditan|Lysodren|ortho,para DDD|Mitotane"
D059005,Mitoxantrone,"NSC-279836|Mitroxone|NSC279836|Mitoxantrone Acetate|Novantrone|NSC301739|Mitoxantrone Hydrochloride|NSC-301739D|Mitozantrone|CL-232325|Mitoxantrone|NSC287836|NSC 301739D|NSC 301739|Pralifan|Ralenova|NSC 279836|Novantron|CL 232325|NSC-287836|Onkotrone|Acetate, Mitoxantrone|NSC301739D|Hydrochloride, Mitoxantrone|NSC 287836|NSC-299195|NSC 299195|NSC299195|CL232325|DHAQ|NSC-301739"
D014150,Molindone,"Moban|Molindone Hydrochloride|Hydrochloride, Molindone|Molindone|Molindone Monohydrochloride|Monohydrochloride, Molindone"
D020030,Molsidomine,"Corvaton|Molsi-Puren|Molsi Puren|Molsidain|Molsidomin Heumann|Fali Cor|Heumann, Molsidomin|Korvatone|Molsidomin Ratiopharm|SIN-10|MTW-Molsidomin|Molsiket|MTW Molsidomin|Molsidomin Stada|Molsidomine|Molsidomin-Ratiopharm|Molsi AZU|Fali-Cor|Von Ct, Molsidomin|Sydnopharm|Molsihexal|Molsicor|SIN 10|Morsydomine|Molsidomin|Corpea|SIN10|Molsi 1A Pharma|Molsi-AZU|Duracoron|Molsibeta|Molsidomin Von Ct"
D061210,Monensin,Monensin Sodium|Monensin A Sodium Complex|Monensin-A-Sodium Complex|Coban|Monensin Monosodium Salt|Rumensin|Monensin
D009294,Morphine,"SDZ 202-250|Contin, MS|Sulfate, Morphine|Morphia|SDZ 202250|SDZ 202 250|MS Contin|Morphine Sulfate|Chloride, Morphine|SDZ202-250|Oramorph SR|Morphine Sulfate (2:1), Pentahydrate|Morphine Chloride|Morphine|SDZ202250|Morphine Sulfate (2:1), Anhydrous|SDZ202 250|Duramorph"
D058785,Muscimol,Muscimol|Agarin|Pantherine
D004232,Muzolimine,"G 2821, Bay|Muzolimine|Bay G 2821"
D018680,Ipratropium,"Sch 1000|Sch 1178|Sch-1178|(endo,syn)-(+-)-3-(3-Hydroxy-1-oxo-2-phenylpropoxy)-8-methyl-8-(1-methylethyl)-8-azoniabicyclo(3.2.1)octane|Ipratropium Bromide|Itrop|N-Isopropylatropine|Sch-1000|Ipratropium Bromide Monohydrate|Ipratropium Bromide, (exo,syn)-Isomer|Ipratropium|Ipratropium Bromide, endo-Isomer|Sch1178|Ipratropium Bromide, (endo,anti)-Isomer|Ipratropium Bromide Anhydrous|Atrovent|Sch1000|N Isopropylatropine"
D013565,Nadolol,Corgard|Solgol|Nadolol|SQ11725|SQ-11725|SQ 11725
D000900,Nafcillin,"Naphthamidopenicillin|Nafcillin, Monosodium Salt, Anhydrous|Nafcillin|Nafcil|Sodium Nafcillin|Sodium, Nafcillin|Nafcillin Sodium|Nafcillin, Sodium"
D000701,Nalbuphine,Nalbuphine Serb|EN 2234A|Nubain|Nalbuphine|EN-2234A|Nalbuphine Hyd|rochloride|EN2234A
D009292,Nalorphine,"Nalorphine, L-tartrate (1:1)|Nalorphine Hydrochloride|Nalorphine Hydrobromide|Nalorphine|Hydrochloride, Nalorphine|Hydrobromide, Nalorphine|Nalorphine, (14 alpha)-Isomer|Lethidrone|Allylnormorphine"
D009292,Naloxone,"Naloxon-Ratiopharm|Abello, Naloxone|MRZ 2593Br|Dihydride, Naloxone Hydrochloride|Hydrobromide, Naloxone|MRZ 2593|Naloxone Hydrochloride, (5 beta,9 alpha,13 alpha,14 alpha)-Isomer|Hydrochloride Dihydride, Naloxone|MRZ-2593|MRZ2593|Naloxone Hydrobromide|Narcan|Hydrochloride, Naloxone|Narcanti|Naloxone Abello|Naloxone Hydrochloride|Naloxone Hydrochloride Dihydride|Naloxone, (5 beta,9 alpha,13 alpha,14 alpha)-Isomer|Naloxon Ratiopharm|Curamed, Naloxon|Nalone|Naloxone|MRZ 2593 Br|Naloxon Curamed|MRZ 2593-Br"
D009292,Naltrexone,Antaxone|EN-1639A|Trexan|EN 1639A|Nemexin|Celupan|Naltrexone Hydrochloride|Naltrexone|EN1639A|ReVia|Nalorex
D045930,Nandrolone,17beta Hydroxy 19 Nor 4 Androsten 3 One|17beta-Hydroxy-19-Nor-4-Androsten-3-One|Estrenolone|Nandrolone|Nortestosterone|Norandrostenolone|17-Hydroxy-Estr-4-Ene-3-One|19-Nortestosterone
D014663,Naphazoline,"Siozwo|All Clear|AK Con|Naphazoline Hydrochloride|Proculin|Naphcon|Privine|Vasoclear|Naphazoline Monohydrochloride|Tele-Stulln|Nafazair|VasoNit|Nitrate, Naphazoline|AK-Con|Hydrochloride, Naphazoline|Vasocon Regular|Vasocon|Vasoconstrictor Pensa|Naphazoline Nitrate|Monohydrochloride, Naphazoline|Naphcon Forte|Colirio Alfa|Afazol Grin|Idril|Privin|Optazine|Tele Stulln|Pensa, Vasoconstrictor|Albalon|Naphazoline|Miraclar|Clear Eyes"
D016861,Naproxen,"Methoxypropiocin|Naproxenate, Sodium|Sodium, Naproxen|Synflex|Naproxen Sodium|Anaprox|Naproxen|Sodium Naproxenate|Proxen|Aleve|Naprosyn|Naprosin"
D018712,Nefopam,"Nefopam|Nefopam Hydrochloride|Hydrochloride, Nefopam|Ajan|Fenazoxine|Acupan|Nefopam, Silentan|Silentan Nefopam"
D011500,Neomycin,Neomycin Palmitate|Neomycin|Fradiomycin Sulfate|Neomycin Sulfate
D010277,Neostigmine,"Prostigmine|Neostigmine|Syntostigmine|Prozerin|Prostigmin|Bromide, Neostigmine|Neostigmine Methylsulfate|Polstigmine|Synstigmin|Proserine|Neostigmine Bromide|Methylsulfate, Neostigmine"
D011500,Netilmicin,Sch20569|Certomycin|Sch 20569|Netillin|Netilmicin Sulfate|Nétromicine|Netromycin|Netrocin|Netromicina|Netilmicin|Netromycine|Sch-20569
D017476,Neuropeptide Y,"Tyrosine, Neuropeptide|Neuropeptide Y|Neuropeptide Y-Like Immunoreactive Peptide|Neuropeptide Tyrosine|Neuropeptide Y Like Immunoreactive Peptide"
D008996,Nialamide,Nialamide
D003049,Nicarbazin,Nicarbazin|Nicarbazine
D014665,Nicardipine,"LA, Nicardipine|Y 93|Dagan|Nicardipine|Nicardipino Seid|Lecibral|Hydrochloride, Nicardipine|Y93|Nicardipine Hydrochloride|Antagonil|Cardene SR|Ridene|Cardene I.V.|Loxen|Nicardipino Ratiopharm|Cardene|Y-93|Lucenfal|Perdipine|Vasonase|Flusemide|Lincil|Nicardipine LA"
D018697,Nicergoline,"Nicerium|Nicergolin Neuraxpharm|Nicergolin Lindo|Circo-Maren|Nimergoline|Nicergolin Atid|Nicergolin Ratiopharm|Nicotergoline|Nicergolin-TEVA|Nicergolin Von Ct|Nicergobeta|Nicergoline|Fisifax|Sermion|Von Ct, Nicergolin|Nicergolin TEVA|F.I. 6714|Ergobel|Circo Maren|Nicergolin-Ratiopharm|Nicergolin-Neuraxpharm"
D000960,Niceritrol,"Tetranicotinate, Pentaerythritol|Perycit|Niceritrol|Tetrahydrochloride, Niceritrol|Niceritrol Tetrahydrochloride|Pentaerythritol Tetranicotinate|Pentaerythritoltetranicotinate"
D008975,Niclosamide,"Niclocide|Clonitralide|Bayer 73|Niclosamide|Trédémine|Yomesan|Niclosamide, 2-Aminoethanol (1:1)|Phenasal|Bayluscide|Fenasal|Radewerm|Bayer 2353"
D015149,Nifedipine,"Bay-1040|Procardia|Cordipin|BAY a 1040|Procardia XL|Nifangin|Cordipine|BAYa1040|Nifedipine GTIS|Korinfar|Vascard|Bay1040|BAY-a-1040|Adalat|Nifedipine Monohydrochloride|Bay 1040|Nifedipine|Nifedipine-GTIS|Monohydrochloride, Nifedipine|Fenigidin|Corinfar"
D000994,Nifuratel,Metilmercadon|Nifuratel|Methylmercadone|Inimur|Macmiror|Thiodinon
D014344,Nifurtimox,Lampit|Nifurtimox|Bayer 2502
D007476,Nigericin,Epinigericin|Nigericin|Pandavir
D014665,Nimodipine,"Bay e 9736|Bayvit, Nimodipino|Nimodipin-ISIS|Nimotop|Nimodipino Bayvit|Hexal, Nimodipin|e 9736, Bay|Nimodipin ISIS|Modus|Brainal|Nymalize|Remontal|Calnit|Nimodipine|Nimodipin Hexal|Admon|Kenesil"
D000994,Nimorazole,Esclama|K1900|Naxogin|K-1900|K 1900|Nimorazole|Nulogyl|Nitrimidazine
D012556,Niridazole,"Niridazole|Ambilar|BA, CIBA 32.644|CIBA 32.644 BA|Ambilhar"
D018757,Nitrazepam,Rhoxal-Nitrazepam|Nitrodiazepam|Remnos|Nitrazadon|Serenade|Somnite|Nitrazepam Neuraxpharm|Radedorm|Nitrazep|Eatan|Mogadon|Imadorm|Dormalon|Novanox|Imeson|Alodorm|Nitrazepam|Nitrazepam AL|Nitrazepam-Neuraxpharm|Rhoxal Nitrazepam|Dormo-Puren
D014665,Nitrendipine,Nitrendipino Bayvit|Nitrendipin-ratiopharm|Nitre-Puren|Nitrendipin Apogepha|Nitrendipin ratiopharm|Nitren 1A Pharma|Balminil|Nitrendipine|Trendinol|nitrendipin corax|NitrePuren|Vastensium|nitrendipincorax|Nitrendimerck|Nitrendepat|Baypresol|Nitrendipin AL|Nitren acis|Bay e 5009|Nitregamma|Niprina|Nitren Lich|Jutapress|Tensogradal|nitrendipin von ct|Nitrensal|Nitrendipin Basics|Nitre AbZ|Nitrendipin Stada|nitrendipin-corax|Nitre Puren|Nitrendipino Ratiopharm|Baypress|Nitrendipin Atid|Gericin|Bayotensin|Nitrendipin Heumann|Nidrel|Nitrepress|Nitrendipin beta|Nitrendipinratiopharm|Nitrendidoc|Nitrendipin Lindo|Nitrendipin Jenapharm|Nitrendi Biochemie|Nitrend KSK
D000900,Nitrofurantoin,"Furadantin|Nitrofurantoin|Furantoin|Nitrofurantoin Sodium Salt|Macrodantin|Furadonine|Furadoine|Furadantine|Nitrofurantoin, Monohydrate"
D000980,Nitroxinil,Nitroxinil|Nitroxynil
D018765,Nomifensine,"Nomifensin|Hoe-984|Merital|Nomifensine|Linamiphen|Nomifensine Maleate|Hoe 984|Hoe984|Nomifensine Maleate (1:1)|Maleate, Nomifensine"
D016861,Masoprocol,"meso-Nordihydroguaiaretic Acid|Nordihydroguaiaretic Acid, (R*,S*)-Isomer|Nordihydroguaiaretic Acid|Actinex|(R*,S*)-4,4'-(2,3-Dimethylbutane-1,4-diyl)bispyrocatechol|Acid, meso-Nordihydroguaiaretic|Dihydronorguaiaretic Acid|Masoprocol|meso Nordihydroguaiaretic Acid"
D014662,Norepinephrine,"Norepinephrine|Norepinephrine Bitartrate|Arterenol|Noradrénaline tartrate renaudin|Norepinephrine l-Tartrate (1:1), (+,-)-Isomer|Norepinephrine Hydrochloride|Norepinephrine, (+)-Isomer|Levonorepinephrine|Norepinephrine l-Tartrate (1:1), Monohydrate|Norepinephrine l-Tartrate (1:2)|Noradrenaline|Norepinephrine Hydrochloride, (+,-)-Isomer|Levophed|Norepinephrine l-Tartrate (1:1)|Norepinephrine l-Tartrate (1:1), Monohydrate, (+)-Isomer|Levophed Bitartrate|Norepinephrine l-Tartrate, (+)-Isomer|Norepinephrine d-Tartrate (1:1)|Norepinephrine, (+,-)-Isomer|Levonor|Noradrenaline Bitartrate|Levarterenol|Norepinephrin d-Tartrate (1:1)|Norepinephrine Hydrochloride, (+)-Isomer"
D045930,Norethandrolone,Ethylnortestosterone|Ethylestrenolone|Nilevar|Norethandrolone
D003280,Norethindrone,"Nor QD|Norethindrone, (1 beta)-Isomer|Norcolute|Micronor|Ethinylnortestosterone|Norethindrone|Nor-QD|Norpregneninolone|NorQD|Norcolut|Norlutin|19-Norpregn-4-en-20-yn-3-one, 17-hydroxy-, (17alpha)-|Monogest|Conceplan|Norethisterone"
D003280,Norethynodrel,"Norethynodrel, (8 alpha)-(+-)-Isomer|19-Norpregn-5(10)-en-20-yn-3-one, 17-hydroxy-, (17alpha)-|Norethynodrel"
D065609,Norfloxacin,MK 366|AM-0715|MK-0366|Noroxin|MK-366|AM 715|AM0715|MK 0366|AM 0715|MK0366|AM-715|Norfloxacin|MK366
D003280,Norgestrel,"Norgestrel|Wy3707|Wy-3707|Postinor|Ovrette|18,19-Dinorpregn-4-en-20-yn-3-one, 13-ethyl-17-hydroxy-, (17alpha)-(+-)-|Neogest|DL Norgestrel|Wy 3707|DL-Norgestrel"
D003280,Norgestrienone,A-301|A301|R2010|A 301|Norgestrienone
D014662,Octopamine,4-Octopamine|p-Octopamine|alpha-(Aminoethyl)-4-hydroxybenzenemethanol|Norsynephrine|para-Octopamine|Octopamine|Norsympatol
D018759,Nortriptyline,"Allegron|Novo-Nortriptyline|Nu Nortriptyline|ratio-Nortriptyline|Aventyl|Pamelor|Paxtibi|Norfenazin|Nortriptyline|Apo Nortriptyline|Gen-Nortriptyline|ratio Nortriptyline|Hydrochloride, Nortriptyline|Desitriptyline|Nortrilen|Desmethylamitriptylin|Gen Nortriptyline|Nu-Nortriptyline|PMS Nortriptyline|Apo-Nortriptyline|PMS-Nortriptyline|Nortriptyline Hydrochloride|Novo Nortriptyline"
D000996,Noscapine,"Hydrochloride, Noscapine|Capval|Noscapect|Noscapine Hydrogen Embonate|Embonate, Noscapine Hydrogen|Hydrogen Embonate, Noscapine|Capval Tropfen|Tropfen, Capval|Prikkelhoest, Librochin|Librochin Prikkelhoest|Narcotine|Tuscalman|Noscapine|Noscapine Hydrochloride"
D015149,Nylidrin,"Nylidrin|Buphenin|Hydrochloride, Nylidrin|Buphenine|Dilatol|Arlidin|Bufenine|Nylidrin Hydrochloride"
D007476,Nystatin,Nystatin A3|Stamycin|Nystatin A2|Nilstat|Nystatin|Stamicin|Fungicidin|Mycostatin|Nystatin G|Nystatin A1
D000900,Oleandomycin,"Oleandomycin|Oleandomycin Phosphate|Phosphate, Oleandomycin"
D054328,Omeprazole,"Prilosec|Omeprazole Sodium|H 168 68|H 168-68|H 16868|Omeprazole Magnesium|Omeprazole|Magnesium, Omeprazole|Sodium, Omeprazole"
D018759,Opipramol,"Insidon|Opipramol|Hydrochloride, Opipramol|Opipramol Hydrochloride"
D058666,Metaproterenol,"Metaprel|Astmopent|Orciprenaline|Metaproterenol|Alupent|Polistirex, Metaproterenol|Alotec|Orciprenaline Sulfate|Metaproterenol Polistirex|Metaproterenol Sulfate"
D011838,Ornidazole,Ro 70207|Ro 7-0207|Tiberal|Ornidazole|Ro-70207|Ro70207|Ro7-0207|Ro7 0207|Ro 7 0207
D014662,Ornipressin,"Ornithine Vasopressin|Ornithine-8-Vasopressin|POR-8|Ornipressin|Orpressin|Ornithine 8 Vasopressin|Vasopressin, Ornithine"
D065686,Orphenadrine,"Methyldiphenylhydramine|Orphenadrine Citrate|Mefenamine|Citrate, Orphenadrine|Sodium Mefenamine|Orphenadrine Citrate, Norflex|Orphenadrine|Hydrochloride, Orphenadrine|Disipal|Norflex Orphenadrine Citrate|Citrate, Norflex Orphenadrine|Mefenamine, Sodium|Orphenadrine Hydrochloride|Mephenamine|Lysantin|Norflex"
D000900,Oxacillin,"Sodium, Oxacillin|Penicillin, Methylphenylisoxazolyl|Prostaphlin|Sodium Oxacillin|Oxacillin, Sodium|Oxacillin Sodium|Oxazocilline|Methylphenylisoxazolyl Penicillin|Oxacillin|Oxacillin, Monosodium Salt, Anhydrous|Oxacillin, Monosodium Salt, Monohydrate"
D012556,Oxamniquine,UK-4271|Oxamniquine|UK4271|Oxaminiquine|UK 4271
D045930,Oxandrolone,Oxandrolone|SC11585|Oxandrin|Anavar|SC 11585|SC-11585
D018757,Oxazepam,Serax|Tazepam|Oxazepam|Adumbran
D014665,Oxprenolol,"Coretal|Trasicor, Slow|Tevacor|Slow Trasicor|Koretal|Oxprenolol Hydrochloride|Oxprenolol|Hydrochloride, Oxprenolol|Trasicor"
D009294,Oxycodone,Dihydrohydroxycodeinone|Oxycone|Dinarkon|Oxiconum|Pancodine|Dihydrone|Eucodal|Oxycodeinon|Oxycodone|Theocodin|Oxycontin|Oxycodone Hydrochloride
D014665,Oxyfedrine,Oxifedrine|Ildamen|Oxiphedrin|Myofedrin|Oxyphedrin|Oxyfedrine
D014663,Oxymetazoline,"Oxymetazoline Hydrochloride|Hydrochloride, Oxymetazoline|Oxymetazoline"
D045930,Oxymetholone,"Anapolon 50|Oxymethalone|Hydroxymetholone|Oxymetholone|Oxymetholone, (17 beta)-Isomer|Anadrol|Oxymetholone, (5 alpha,17 alpha)-Isomer"
D009294,Oxymorphone,Oxymorphone Hydrochloride|Numorphan|Oxymorphone|Oxymorphone HCl|Opana
D000894,Oxyphenbutazone,Diflamil|Tanderil|Oxyphenbutazone|Hydroxyphenylbutazone|Oxyphenylbutazone
D018727,Oxyphenonium,"Oxyphenonium Bromide, (-)-Isomer|Oxyphenonium Bromide|Oxyphenonium Iodide|Oxyphenonium, (S)-Isomer|Oxyphenonium Bromide, (+)-Isomer|Chloride, Oxyphenonium|Methacin|Spastrex|2-((Cyclohexylhydroxyphenylacetyl)oxy)-N,N-diethyl-N-methylethanaminium|Metacin|Oxyphenon|Oxyphenonium Iodide, (R)-Isomer|Iodide, Oxyphenonium|Oxyphenonium|Oxyphenonium, (R)-Isomer|Oxyphenonium Iodide, (S)-Isomer|Atrenyl|Oxyphenonium Chloride|Oxyphenonium Bromide, (+-)-Isomer|Oxyphenonium, (+-)-Isomer|Bromide, Oxyphenonium"
D004791,Oxypurinol,Alloxanthine|Oxipurinol|Oxypurinol
D000900,Oxytetracycline,"Oxytetracycline Anhydrous|Oxytetracid|Oxytetracycline, Disodium Salt, Dihydrate|Oxytetracycline Sulfate (2:1)|Geomycin|Oxytetracycline Calcium|Hydroxytetracycline|Bisolvomycin|Oxytetracycline, Anhydrous|Oxytetracycline, (5 beta)-Isomer|Oxyterracine|Oxyterracin|Oxytetracycline|Terramycin|Oxytetracycline, Calcium (1:1) Salt|Oxytetracycline, (4a beta,5 beta,5a beta,12a beta)-Isomer|Oxytetracycline, Sodium Salt|Oxytetracycline Monohydrochloride|Oxytetracycline Hydrochloride|Oxytetracycline Dihydrate"
D018733,Pancuronium,"Bromide, Pancuronium|Pancuronium Organon|Pavulon|Pancuronium Bromide|Pancuronium|Pancuronium Curamed"
D005938,Paramethasone,Paramethasone
D007306,Paraoxon,"Phosphacol|E-600|E 600|Diethyl p Nitrophenyl Phosphate|Diethyl-p-Nitrophenyl Phosphate|Fosfakol|Paraoxon|Phosphate, Diethyl-p-Nitrophenyl|E600"
